,Mkt-RF,SMB,HML,RF
2011-08-01,-5.99,-3.03,-2.4,0.01
2011-09-01,-7.59,-3.54,-1.37,0.0
2011-10-01,11.35,3.44,-0.22,0.0
2011-11-01,-0.28,-0.18,-0.42,0.0
2011-12-01,0.74,-0.67,1.71,0.0
2012-01-01,5.05,2.15,-1.11,0.0
2012-02-01,4.42,-1.72,0.11,0.0
2012-03-01,3.11,-0.63,0.89,0.0
2012-04-01,-0.85,-0.54,-0.46,0.0
2012-05-01,-6.19,0.0,-0.52,0.01
2012-06-01,3.89,0.79,0.41,0.0
2012-07-01,0.79,-2.6,-0.25,0.0
2012-08-01,2.55,0.39,1.34,0.01
2012-09-01,2.73,0.48,1.57,0.01
2012-10-01,-1.76,-1.09,3.64,0.01
2012-11-01,0.78,0.54,-0.81,0.01
2012-12-01,1.18,1.49,3.52,0.01
2013-01-01,5.57,0.44,0.95,0.0
2013-02-01,1.29,-0.43,0.11,0.0
2013-03-01,4.03,0.84,-0.26,0.0
2013-04-01,1.55,-2.43,0.57,0.0
2013-05-01,2.8,1.69,2.49,0.0
2013-06-01,-1.2,1.17,-0.13,0.0
2013-07-01,5.65,1.88,0.61,0.0
2013-08-01,-2.71,0.25,-2.77,0.0
2013-09-01,3.77,2.94,-1.2,0.0
2013-10-01,4.18,-1.52,1.1,0.0
2013-11-01,3.12,1.25,0.26,0.0
2013-12-01,2.81,-0.48,-0.31,0.0
2014-01-01,-3.32,0.87,-2.13,0.0
2014-02-01,4.65,0.34,-0.37,0.0
2014-03-01,0.43,-1.85,5.03,0.0
2014-04-01,-0.19,-4.19,1.1,0.0
2014-05-01,2.06,-1.85,-0.36,0.0
2014-06-01,2.61,3.01,-0.66,0.0
2014-07-01,-2.04,-4.22,-0.02,0.0
2014-08-01,4.24,0.4,-0.55,0.0
2014-09-01,-1.97,-3.8,-1.19,0.0
2014-10-01,2.52,4.28,-1.68,0.0
2014-11-01,2.55,-2.05,-2.98,0.0
2014-12-01,-0.06,2.59,2.12,0.0
2015-01-01,-3.11,-0.51,-3.47,0.0
2015-02-01,6.13,0.51,-1.73,0.0
2015-03-01,-1.12,3.07,-0.45,0.0
2015-04-01,0.59,-3.01,1.84,0.0
2015-05-01,1.36,0.9,-1.32,0.0
2015-06-01,-1.53,2.85,-0.8,0.0
2015-07-01,1.54,-4.07,-4.21,0.0
2015-08-01,-6.04,0.52,2.71,0.0
2015-09-01,-3.08,-2.61,0.58,0.0
2015-10-01,7.75,-1.93,-0.11,0.0
2015-11-01,0.56,3.62,-0.57,0.0
2015-12-01,-2.17,-2.81,-2.46,0.01
2016-01-01,-5.77,-3.36,2.26,0.01
2016-02-01,-0.07,0.83,-0.48,0.02
2016-03-01,6.96,0.86,1.11,0.02
