,Mkt-RF,SMB,HML,RF,TR
01/08/2011,-5.99,-3.03,-2.4,0.01,-2.3
01/09/2011,-7.59,-3.54,-1.37,0,-2.2
01/10/2011,11.35,3.44,-0.22,0,6.7
01/11/2011,-0.28,-0.18,-0.42,0,1.7
01/12/2011,0.74,-0.67,1.71,0,2.2
01/01/2012,5.05,2.15,-1.11,0,3.7
01/02/2012,4.42,-1.72,0.11,0,3.9
01/03/2012,3.11,-0.63,0.89,0,0.5
01/04/2012,-0.85,-0.54,-0.46,0,0.1
01/05/2012,-6.19,0,-0.52,0.01,-5.5
01/06/2012,3.89,0.79,0.41,0,2.4
01/07/2012,0.79,-2.6,-0.25,0,3.4
01/08/2012,2.55,0.39,1.34,0.01,2.8
01/09/2012,2.73,0.48,1.57,0.01,2.3
01/10/2012,-1.76,-1.09,3.64,0.01,1.6
01/11/2012,0.78,0.54,-0.81,0.01,1.9
01/12/2012,1.18,1.49,3.52,0.01,-0.7
01/01/2013,5.57,0.44,0.95,0,5.1
01/02/2013,1.29,-0.43,0.11,0,3.8
01/03/2013,4.03,0.84,-0.26,0,3.8
01/04/2013,1.55,-2.43,0.57,0,2.8
01/05/2013,2.8,1.69,2.49,0,2.8
01/06/2013,-1.2,1.17,-0.13,0,-1.1
01/07/2013,5.65,1.88,0.61,0,3.1
01/08/2013,-2.71,0.25,-2.77,0,-2.8
01/09/2013,3.77,2.94,-1.2,0,1.8
01/10/2013,4.18,-1.52,1.1,0,3.3
01/11/2013,3.12,1.25,0.26,0,1.4
01/12/2013,2.81,-0.48,-0.31,0,1.5
01/01/2014,-3.32,0.87,-2.13,0,-0.6
01/02/2014,4.65,0.34,-0.37,0,4.7
01/03/2014,0.43,-1.85,5.03,0,0.8
01/04/2014,-0.19,-4.19,1.1,0,-0.1
01/05/2014,2.06,-1.85,-0.36,0,1.4
01/06/2014,2.61,3.01,-0.66,0,1.3
01/07/2014,-2.04,-4.22,-0.02,0,-0.7
01/08/2014,4.24,0.4,-0.55,0,1.8
01/09/2014,-1.97,-3.8,-1.19,0,3.3
01/10/2014,2.52,4.28,-1.68,0,0.9
01/11/2014,2.55,-2.05,-2.98,0,3.2
01/12/2014,-0.06,2.59,2.12,0,-0.9
01/01/2015,-3.11,-0.51,-3.47,0,0.2
01/02/2015,6.13,0.51,-1.73,0,3.4
01/03/2015,-1.12,3.07,-0.45,0,0.3
01/04/2015,0.59,-3.01,1.84,0,1.6
01/05/2015,1.36,0.9,-1.32,0,4.7
01/06/2015,-1.53,2.85,-0.8,0,-1.9
01/07/2015,1.54,-4.07,-4.21,0,2.8
01/08/2015,-6.04,0.52,2.71,0,-4.3
01/09/2015,-3.08,-2.61,0.58,0,-1.0
01/10/2015,7.75,-1.93,-0.11,0,6.3
01/11/2015,0.56,3.62,-0.57,0,3.0
01/12/2015,-2.17,-2.81,-2.46,0.01,-0.4
01/01/2016,-5.77,-3.36,2.26,0.01,-1.2
01/02/2016,-0.07,0.83,-0.48,0.02,-0.7
01/03/2016,6.96,0.86,1.11,0.02,2.0
